timestep,walltime_sec,ep_rew_mean,ep_len_mean
12656640,2386.52,6689.3616,800.00
12677120,2390.29,6664.5283,800.00
12697600,2393.99,6653.2443,800.00
12718080,2397.90,6630.9794,800.00
12738560,2401.63,6658.4583,800.00
12759040,2405.41,6703.6381,800.00
12779520,2409.13,6696.4987,800.00
12800000,2412.94,6701.2376,800.00
12820480,2416.92,6704.7727,800.00
12840960,2420.71,6655.7903,800.00
12861440,2424.48,6654.8414,800.00
12881920,2428.49,6670.6282,800.00
12902400,2433.67,6669.2928,800.00
12922880,2437.77,6699.7399,800.00
12943360,2441.55,6717.0352,800.00
12963840,2445.29,6721.9008,800.00
12984320,2449.17,6716.8342,800.00
13004800,2453.04,6706.6808,800.00
13025280,2457.11,6696.1880,800.00
13045760,2461.26,6695.8856,800.00
13066240,2465.22,6698.8831,800.00
13086720,2469.21,6710.0896,800.00
13107200,2472.98,6719.8298,800.00
13127680,2477.02,6716.3010,800.00
13148160,2480.83,6712.9603,800.00
13168640,2484.71,6720.3991,800.00
13189120,2489.13,6695.2563,800.00
13209600,2493.33,6694.3409,800.00
13230080,2497.54,6691.4832,800.00
13250560,2501.39,6682.7421,800.00
13271040,2505.20,6711.4011,800.00
13291520,2509.14,6710.9390,800.00
13312000,2513.11,6695.2713,800.00
13332480,2517.10,6701.6704,800.00
13352960,2521.14,6704.8752,800.00
13373440,2525.14,6709.9482,800.00
13393920,2529.15,6719.0105,800.00
13414400,2533.13,6703.6502,800.00
13434880,2537.22,6691.2198,800.00
13455360,2540.96,6670.4239,800.00
13475840,2544.64,6674.2579,800.00
13496320,2548.56,6690.3648,800.00
13516800,2552.40,6687.8241,800.00
13537280,2556.47,6706.2581,800.00
13557760,2560.41,6707.2982,800.00
13578240,2564.19,6700.1183,800.00
13598720,2567.89,6700.0639,800.00
13619200,2571.60,6709.1318,800.00
13639680,2575.77,6690.9042,800.00
13660160,2579.81,6703.6833,800.00
13680640,2583.92,6733.5844,800.00
13701120,2587.90,6724.1140,800.00
13721600,2591.81,6749.8702,800.00
13742080,2595.80,6740.3955,800.00
13762560,2599.81,6733.1394,800.00
13783040,2603.85,6739.2694,800.00
13803520,2607.92,6744.1010,800.00
13824000,2611.96,6660.1386,794.20
13844480,2616.17,6563.0474,788.27
13864960,2620.23,6514.3019,788.27
13885440,2624.26,6469.1374,788.27
13905920,2628.16,6460.6281,788.03
13926400,2632.16,6343.4590,776.43
13946880,2636.30,6075.9911,744.85
13967360,2640.18,5973.7969,734.37
13987840,2644.20,6008.6109,740.41
14008320,2648.06,6017.6307,739.58
14028800,2651.95,6188.8515,756.71
14049280,2655.96,6130.6607,750.88
14069760,2659.86,6176.4653,758.11
14090240,2663.93,6255.6035,771.72
14110720,2667.84,6255.4094,777.80
14131200,2671.67,6299.9175,783.47
14151680,2675.75,6241.1198,782.12
14172160,2679.68,6249.6728,780.02
14192640,2683.57,6340.6885,785.81
14213120,2687.39,6215.0214,768.62
14233600,2691.21,6262.5733,771.00
14254080,2695.17,6278.5355,772.21
14274560,2698.95,6276.8300,772.94
14295040,2702.63,6328.8787,778.58
14315520,2706.39,6365.9796,783.29
14336000,2710.26,6457.7132,794.33
14356480,2714.17,6488.5773,800.00
14376960,2717.82,6447.0477,793.98
14397440,2721.57,6459.2003,793.98
14417920,2725.38,6336.2475,783.60
14438400,2729.51,6332.3331,783.60
14458880,2733.57,6274.3091,777.47
14479360,2737.29,6284.5282,775.62
14499840,2741.04,6401.4408,781.46
14520320,2744.73,6339.8835,774.27
14540800,2748.44,6447.2230,786.42
14561280,2752.36,6511.8227,792.81
14581760,2756.11,6321.7143,772.76
14602240,2759.85,6269.8162,766.93
14622720,2763.61,6103.7316,747.71
14643200,2767.33,6028.4852,741.27
14663680,2771.18,6087.5961,746.53
14684160,2774.72,6199.5627,759.36
14704640,2778.40,6036.3921,747.06
14725120,2782.23,6203.2258,767.71
14745600,2785.94,6262.2308,774.07
14766080,2789.83,6227.0192,768.78
14786560,2793.52,6255.6856,769.29
14807040,2797.11,6232.7854,765.46
14827520,2800.72,6227.9028,766.39
14848000,2804.38,6208.0144,765.36
14868480,2808.15,6168.7831,759.28
14888960,2811.84,6273.6099,769.41
14909440,2815.46,6144.8135,756.54
14929920,2819.16,6324.4658,774.82
14950400,2822.90,6255.6654,768.43
14970880,2826.71,6147.1438,755.12
14991360,2830.32,6203.7354,761.11
15011840,2833.87,6248.0209,766.35
15032320,2837.46,6263.9196,772.77
15052800,2841.04,6377.5234,785.73
15073280,2844.75,6356.4968,780.52
15093760,2848.30,6412.5468,787.61
15114240,2851.92,6437.9870,788.89
15134720,2855.50,6197.3825,763.93
15155200,2859.09,6195.6918,769.14
15175680,2862.78,6213.7319,769.14
15196160,2866.39,6269.7131,774.25
15216640,2869.94,6350.3246,781.76
15237120,2873.47,6350.6971,781.76
15257600,2877.07,6366.3927,781.76
15278080,2880.73,6337.9352,781.22
15298560,2884.32,6218.6223,768.32
