t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
4.205,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.230,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.254,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.279,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.303,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.325,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.350,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.374,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.526,0.0,0.0,3.70
4.399,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.421,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.446,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.466,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.489,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.511,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.536,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.561,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.586,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.358,0.0,0.0,3.70
4.607,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.378,0.0,0.0,3.70
4.631,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.432,0.0,0.0,3.70
4.653,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.432,0.0,0.0,3.70
4.675,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.432,0.0,0.0,3.70
4.700,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.432,0.0,0.0,3.70
4.722,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.747,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.772,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.797,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.817,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
