t,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,policy.abort_reason,policy.act0,policy.armed,policy.mode,policy.p_err,policy.thrust_units,policy.tilt_deg,policy.vbat,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
25.396,0.042337339371442795,-0.08116430789232254,0.9965582489967346,,,34.45378494262695,,,,,,,,,,,,
25.494,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.496,,,,2.3812623023986816,-1.5016796588897705,,,,,,,,,,1.050277590751648,0.9819878935813904,-34.80241394042969,1.2612394094467163
25.497,0.05573127046227455,-0.041321441531181335,1.0173842906951904,,,2.264103412628174,,,,,,,,,,,,
25.593,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.595,,,,0.3058185577392578,-13.896827697753906,,,,,,,,,,1.0708224773406982,0.9455863237380981,-36.314453125,1.274206280708313
25.596,0.0566924549639225,-0.05354554206132889,1.0145034790039062,,,-9.580754280090332,,,,,,,,,,,,
25.693,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.694,,,,0.4966062307357788,-20.808231353759766,,,,,,,,,,1.0254595279693604,1.0916377305984497,-38.98347473144531,1.2650808095932007
25.696,0.07078658789396286,-0.046779509633779526,0.9961771965026855,,,-14.430163383483887,,,,,,,,,,,,
25.793,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.795,,,,0.4231703579425812,-23.29818344116211,,,,,,,,,,1.0230659246444702,1.0949853658676147,-41.65164566040039,1.266552209854126
25.796,0.11186979711055756,-0.04623326659202576,0.993049681186676,,,0.17323172092437744,,,,,,,,,,,,
25.892,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.895,,,,-0.24721142649650574,-12.582376480102539,,,,,,,,,,0.9525168538093567,1.090591549873352,-45.77821350097656,1.2251086235046387
25.896,0.13111995160579681,-0.03773228079080582,0.9975292682647705,,,-8.93459701538086,,,,,,,,,,,,
25.993,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.994,,,,-1.6752839088439941,-7.760046005249023,,,,,,,,,,0.9933968186378479,1.0876762866973877,-48.33606719970703,1.2117737531661987
25.995,0.16080932319164276,-0.07350737601518631,0.9871052503585815,,,-10.528084754943848,,,,,,,,,,,,
26.093,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.095,,,,26.897109985351562,12.658663749694824,,,,,,,,,,0.9930475354194641,1.0908708572387695,-49.59017562866211,1.2086831331253052
26.096,0.21663673222064972,-0.05767073482275009,0.9789884686470032,,,-19.39179229736328,,,,,,,,,,,,
26.193,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.194,,,,57.35292053222656,17.87223243713379,,,,,,,,,,1.1360771656036377,1.0671311616897583,-51.10517883300781,1.1749908924102783
26.196,0.14923915266990662,0.05876889452338219,0.9944997429847717,,,1.971670150756836,,,,,,,,,,,,
26.292,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.294,,,,-5.538602828979492,-40.565643310546875,,,,,,,,,,1.1797127723693848,1.0592232942581177,-50.87997055053711,1.1634758710861206
26.295,0.14151839911937714,0.13452494144439697,1.0461554527282715,,,-12.644057273864746,,,,,,,,,,,,
26.392,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.394,,,,-6.53672456741333,24.381996154785156,,,,,,,,,,1.2629611492156982,1.050431489944458,-51.75905990600586,1.1439859867095947
26.396,0.17380394041538239,0.04174376651644707,1.0078891515731812,,,-1.5606460571289062,,,,,,,,,,,,
26.493,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.494,,,,1.2257674932479858,-2.343470573425293,,,,,,,,,,1.3828394412994385,1.0370982885360718,-51.9443473815918,1.1148147583007812
26.495,0.10124573856592178,0.04818897694349289,0.94509357213974,,,-0.5788933634757996,,,,,,,,,,,,
26.593,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.595,,,,3.1506547927856445,-9.021086692810059,,,,,,,,,,1.513879656791687,1.0234754085540771,-52.291290283203125,1.0800243616104126
26.596,0.11726927757263184,0.07065064460039139,0.9934818148612976,,,0.6544977426528931,,,,,,,,,,,,
26.693,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.694,,,,8.307329177856445,-8.90855598449707,,,,,,,,,,1.5633318424224854,1.017962098121643,-52.452720642089844,1.0696262121200562
26.695,0.08070328086614609,0.08042691648006439,0.9664002060890198,,,1.71172297000885,,,,,,,,,,,,
26.793,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.794,,,,-4.079222202301025,-12.57998275756836,,,,,,,,,,1.6138404607772827,1.0127770900726318,-52.67130661010742,1.0591328144073486
26.796,0.12271016836166382,0.08536283671855927,1.0038542747497559,,,-3.4509494304656982,,,,,,,,,,,,
26.892,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.894,,,,2.9368858337402344,2.573345422744751,,,,,,,,,,1.6660979986190796,1.0067590475082397,-52.95777130126953,1.0499565601348877
26.895,0.11635981500148773,0.056320346891880035,0.984239935874939,,,1.7773486375808716,,,,,,,,,,,,
26.993,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
26.994,,,,-3.2090659141540527,-7.501812934875488,,,,,,,,,,1.7205668687820435,0.999721109867096,-52.9036865234375,1.040224552154541
26.996,0.09543778747320175,0.05798706039786339,0.9844025373458862,,,4.0694146156311035,,,,,,,,,,,,
