timestep,walltime_sec,ep_rew_mean,ep_len_mean
4526080,942.90,1461.4900,394.10
4546560,946.63,1484.6771,395.10
4567040,951.22,1562.9244,413.88
4587520,955.03,1532.0271,412.75
4608000,958.59,1496.5804,402.14
4628480,962.93,1460.5618,381.22
4648960,967.14,1560.9815,398.81
4669440,971.48,1659.5345,426.62
4689920,975.36,1570.7755,413.82
4710400,979.98,1591.8743,418.96
4730880,984.34,1577.0124,415.88
4751360,987.82,1542.9264,408.11
4771840,991.39,1538.4478,407.81
4792320,995.08,1468.6271,403.09
4812800,998.76,1439.6896,397.56
4833280,1002.53,1439.1301,380.68
4853760,1006.06,1556.4859,392.28
4874240,1009.67,1505.2256,375.29
4894720,1013.18,1537.0082,400.33
4915200,1016.87,1662.8264,440.93
4935680,1020.50,1631.3991,428.10
4956160,1023.94,1558.7095,406.43
4976640,1027.66,1638.5161,423.82
4997120,1031.03,1731.4978,430.38
5017600,1034.51,1650.7220,406.32
5038080,1037.98,1608.3599,402.12
5058560,1041.44,1729.0704,428.35
5079040,1044.78,1737.6787,428.26
5099520,1048.10,1650.9749,415.60
5120000,1051.41,1602.2082,415.14
5140480,1054.82,1706.9669,429.30
5160960,1058.07,1585.5956,395.44
5181440,1061.40,1694.2839,410.27
5201920,1064.85,1763.3741,421.01
5222400,1068.59,1603.1246,393.80
5242880,1072.44,1525.5770,386.63
5263360,1075.81,1547.8365,394.05
5283840,1079.24,1640.4551,406.18
5304320,1083.04,1627.1537,410.12
5324800,1086.83,1517.5633,391.03
5345280,1090.78,1565.3553,398.11
5365760,1095.02,1643.1374,410.13
5386240,1100.88,1732.8234,427.66
5406720,1104.65,1873.6839,450.45
5427200,1108.31,1760.2476,424.93
5447680,1112.31,1698.3152,412.46
5468160,1115.91,1738.7862,423.85
5488640,1119.34,1651.4523,408.60
5509120,1122.80,1613.5378,402.37
5529600,1126.45,1667.0507,421.99
5550080,1130.14,1841.7051,448.43
5570560,1133.63,1739.0135,415.00
5591040,1137.14,1639.0360,394.88
5611520,1140.67,1581.4382,386.59
5632000,1144.40,1600.6103,390.56
5652480,1148.55,1664.6285,403.07
5672960,1152.46,1624.8096,399.81
5693440,1156.09,1737.9246,429.76
5713920,1159.70,1789.4248,428.31
5734400,1163.18,1753.5534,419.92
5754880,1166.92,1842.6164,444.64
5775360,1170.42,1800.4830,441.94
5795840,1174.07,1794.1729,435.15
5816320,1177.80,1794.6965,440.48
5836800,1181.31,1717.2546,414.47
5857280,1185.13,1751.8134,414.69
5877760,1188.65,1787.1335,429.32
5898240,1192.14,1636.1458,404.38
5918720,1195.66,1524.0449,379.56
5939200,1199.12,1617.8864,392.85
5959680,1202.83,1755.5422,422.45
5980160,1206.40,1700.1706,416.35
6000640,1209.96,1802.7325,438.26
6021120,1213.55,1792.4634,440.12
6041600,1217.10,1580.2167,398.58
6062080,1221.03,1583.4805,400.49
6082560,1224.80,1590.9674,409.00
6103040,1228.55,1587.0040,410.89
6123520,1232.33,1762.7202,445.76
6144000,1236.10,1835.5051,441.13
6164480,1240.01,1625.5034,394.45
6184960,1243.78,1720.8656,417.55
6205440,1247.51,1862.3811,437.66
6225920,1251.22,1945.5098,462.83
6246400,1255.04,1948.9565,465.23
6266880,1258.94,1876.3563,447.92
6287360,1263.15,1801.9836,444.62
6307840,1267.41,1761.9305,446.91
6328320,1271.24,1719.8207,422.51
6348800,1275.35,1662.8860,403.67
6369280,1279.77,1811.1936,426.77
6389760,1284.06,1799.5671,417.81
6410240,1288.34,1538.7881,373.05
6430720,1293.06,1522.4832,391.57
6451200,1297.55,1661.5362,411.63
6471680,1301.61,1874.7725,439.52
6492160,1305.74,1829.7274,436.84
6512640,1309.60,1788.8721,431.73
6533120,1313.48,1837.7509,436.21
6553600,1317.26,1796.9536,430.57
6574080,1321.06,1662.3195,405.31
6594560,1324.98,1787.6570,434.91
6615040,1329.29,1801.9017,440.63
6635520,1333.43,1658.0452,403.61
6656000,1338.43,1757.1283,422.50
6676480,1344.91,1751.1842,416.51
6696960,1350.98,1667.0059,398.24
6717440,1357.11,1747.8831,418.26
6737920,1363.12,1690.3596,414.31
6758400,1368.92,1759.6710,437.38
6778880,1375.19,1674.3923,413.26
6799360,1381.06,1712.6176,410.59
6819840,1385.25,1802.2206,436.75
6840320,1389.46,1896.1589,454.09
6860800,1393.64,1870.8274,446.08
6881280,1398.02,1799.4179,429.25
6901760,1402.09,1721.8121,416.33
6922240,1406.38,1647.6383,405.27
6942720,1410.58,1741.2534,420.14
6963200,1414.77,1836.7409,433.38
6983680,1419.56,1902.2676,444.30
7004160,1424.30,1759.5587,424.44
7024640,1429.14,1670.5154,411.58
7045120,1433.67,1761.5432,420.60
7065600,1438.32,1772.1878,425.08
7086080,1443.65,1792.1520,423.65
7106560,1448.38,1859.4750,452.91
7127040,1452.75,1758.5686,437.70
7147520,1457.17,1786.1282,419.12
7168000,1461.65,1748.8787,425.59
7188480,1466.39,1764.9442,436.04
7208960,1471.41,1773.6055,432.35
7229440,1476.61,1765.3137,422.12
7249920,1481.52,1713.2307,407.97
7270400,1487.66,1796.3523,425.82
7290880,1493.55,1791.7597,444.57
7311360,1500.99,1534.8262,433.98
7331840,1509.24,1359.5554,415.79
7352320,1517.24,1300.2812,398.71
7372800,1525.33,1271.0740,385.83
7393280,1533.96,1429.9132,412.53
7413760,1542.09,1527.7782,422.24
7434240,1549.10,1547.9240,431.07
7454720,1553.86,1491.3143,425.66
7475200,1558.56,1516.4395,430.95
7495680,1563.84,1594.5946,433.51
7516160,1568.91,1509.6720,408.46
7536640,1573.83,1484.2681,411.03
7557120,1578.72,1429.6945,402.90
7577600,1583.33,1414.8262,399.58
7598080,1588.05,1611.5033,445.95
7618560,1592.60,1601.7554,443.75
7639040,1597.14,1610.0794,440.38
7659520,1601.77,1508.6836,412.71
7680000,1606.46,1597.8650,427.33
7700480,1611.23,1586.0547,426.97
7720960,1615.85,1540.5004,416.49
7741440,1620.20,1614.1614,438.07
7761920,1624.43,1729.9617,462.21
7782400,1628.60,1657.0974,457.33
7802880,1633.03,1553.1703,442.94
7823360,1637.15,1595.8000,425.12
7843840,1642.08,1552.2575,400.78
7864320,1646.77,1556.6134,423.62
7884800,1651.63,1571.9674,443.63
7905280,1657.39,1582.3095,435.18
7925760,1663.22,1704.6059,449.74
7946240,1668.69,1719.8442,460.74
7966720,1673.79,1549.3432,426.43
7987200,1678.81,1364.5753,373.07
8007680,1684.37,1461.8922,392.67
8028160,1689.82,1684.9501,429.31
8048640,1694.84,1640.8218,437.54
8069120,1699.90,1419.7635,403.92
8089600,1704.98,1431.9030,410.47
8110080,1710.81,1459.3881,421.83
8130560,1715.82,1476.4829,413.84
8151040,1720.97,1616.7871,435.45
8171520,1726.10,1588.0090,430.62
8192000,1731.05,1516.4941,417.73
8212480,1736.31,1446.9434,405.15
8232960,1741.31,1448.4424,403.38
8253440,1746.30,1550.3384,421.51
8273920,1751.04,1614.3398,433.05
8294400,1755.80,1641.9274,441.81
8314880,1760.68,1593.2979,413.24
8335360,1765.45,1466.6790,398.90
8355840,1770.19,1455.8194,417.45
8376320,1774.98,1522.4477,427.48
8396800,1779.82,1489.7285,422.05
8417280,1785.46,1467.1679,415.55
8437760,1790.57,1495.0203,405.40
8458240,1795.53,1581.3595,412.16
8478720,1800.07,1667.9394,441.88
8499200,1804.90,1613.9461,437.99
8519680,1809.92,1537.3773,420.20
8540160,1814.78,1606.4393,433.19
8560640,1819.60,1704.2278,450.93
8581120,1824.66,1639.8310,435.43
8601600,1829.46,1598.3703,417.88
8622080,1834.32,1523.1711,400.70
8642560,1838.71,1538.2680,410.17
8663040,1843.31,1610.1710,432.27
8683520,1848.01,1638.8945,432.39
8704000,1852.52,1596.9871,415.59
8724480,1857.26,1617.2883,421.29
8744960,1861.40,1561.8675,408.50
8765440,1866.25,1475.0824,386.04
8785920,1871.76,1654.9470,417.77
8806400,1876.91,1628.1493,416.46
8826880,1882.38,1571.3297,412.96
8847360,1887.76,1624.1732,423.91
8867840,1892.81,1635.2783,420.75
8888320,1897.74,1632.1316,420.25
8908800,1903.07,1545.4504,409.44
8929280,1908.45,1551.8099,411.36
8949760,1913.28,1708.3814,444.11
8970240,1917.99,1741.0957,436.00
8990720,1922.78,1715.3013,429.70
9011200,1927.76,1672.5221,416.50
9031680,1933.16,1529.8586,397.88
9052160,1938.13,1565.1698,407.71
9072640,1942.98,1697.4667,427.03
9093120,1947.82,1604.8481,416.33
9113600,1952.63,1572.8158,408.87
9134080,1957.73,1571.5519,409.76
9154560,1962.75,1638.9662,420.97
9175040,1967.28,1754.9422,431.22
9195520,1971.93,1748.1636,427.59
9216000,1977.05,1647.8209,413.88
9236480,1981.94,1691.2131,415.42
9256960,1986.73,1765.8735,433.56
9277440,1991.76,1649.3972,410.93
9297920,1996.43,1578.4688,396.53
9318400,2000.82,1545.6499,397.22
9338880,2005.63,1588.8179,410.46
9359360,2010.89,1642.8850,427.72
9379840,2015.25,1694.8171,433.21
9400320,2019.57,1683.9320,415.32
9420800,2024.14,1662.1694,423.76
9441280,2028.66,1674.9596,436.64
9461760,2032.51,1661.4908,420.53
9482240,2036.41,1660.4647,410.64
9502720,2040.53,1569.8767,400.76
9523200,2044.89,1656.4032,426.07
9543680,2049.43,1685.2675,427.45
9564160,2053.75,1603.0114,409.04
9584640,2058.14,1671.7194,416.98
9605120,2062.55,1729.5867,427.08
9625600,2066.76,1584.1446,398.26
9646080,2071.32,1611.2933,416.32
9666560,2075.77,1654.0725,428.56
9687040,2080.18,1697.5485,424.54
9707520,2084.64,1696.8925,422.84
9728000,2089.19,1795.7916,443.95
9748480,2094.12,1671.1507,427.26
9768960,2098.93,1613.0039,410.29
9789440,2103.04,1580.1141,407.09
9809920,2106.78,1392.0282,395.55
9830400,2110.68,1407.4662,420.98
9850880,2114.62,1544.2629,449.55
9871360,2118.41,1584.7363,423.53
9891840,2122.07,1619.6281,414.56
9912320,2125.82,1610.4874,424.45
9932800,2129.47,1346.4111,403.61
9953280,2133.37,1351.5189,404.38
9973760,2137.19,1410.8757,406.51
9994240,2141.03,1353.2818,395.84
10014720,2144.96,1468.0792,404.74
10035200,2148.67,1535.3823,423.09
10055680,2152.62,1521.8020,432.76
10076160,2156.41,1499.6190,416.27
10096640,2160.12,1635.3188,436.25
10117120,2163.81,1631.5254,440.24
10137600,2167.53,1572.0290,435.29
10158080,2171.43,1516.0055,419.58
10178560,2175.20,1494.9096,409.99
10199040,2178.85,1569.4317,419.51
10219520,2182.62,1607.5883,426.51
10240000,2186.37,1473.8615,396.26
10260480,2190.29,1391.1319,375.36
10280960,2194.00,1473.1045,405.76
10301440,2197.71,1668.3870,439.50
10321920,2201.48,1562.3353,438.06
10342400,2205.09,1559.6970,442.36
10362880,2208.89,1645.4187,441.83
10383360,2212.58,1616.8547,432.72
10403840,2216.28,1493.0912,412.23
10424320,2219.91,1508.2380,411.65
10444800,2223.87,1492.1013,409.79
10465280,2227.60,1529.5452,413.05
10485760,2231.20,1609.1970,422.86
10506240,2234.80,1629.7547,422.35
10526720,2238.44,1576.9192,420.12
10547200,2242.05,1567.1221,424.49
10567680,2245.78,1395.7326,402.66
10588160,2249.37,1501.1714,415.13
10608640,2253.23,1684.7220,448.42
10629120,2257.15,1552.7001,422.12
10649600,2260.82,1562.5602,408.19
10670080,2264.59,1708.0781,433.43
10690560,2268.24,1573.2711,415.00
10711040,2271.81,1424.6367,390.54
10731520,2275.52,1537.3176,413.80
10752000,2279.23,1620.0239,433.91
10772480,2283.03,1601.3500,433.55
