timestep,walltime_sec,ep_rew_mean,ep_len_mean
12001280,2955.05,1539.9040,430.59
12021760,2960.13,1471.8362,420.20
12042240,2965.06,1530.2788,415.93
12062720,2970.13,1517.7855,408.63
12083200,2975.17,1390.9802,394.78
12103680,2980.26,1376.4082,383.82
12124160,2985.26,1476.8807,383.85
12144640,2990.28,1426.0494,375.16
12165120,2995.30,1434.8922,383.85
12185600,3000.34,1537.6676,409.26
12206080,3005.48,1573.9999,419.38
12226560,3010.51,1446.7434,396.34
12247040,3015.41,1373.6103,384.76
12267520,3021.14,1561.6268,427.86
12288000,3027.38,1565.5639,423.07
12308480,3034.57,1556.9083,411.67
12328960,3039.65,1408.4552,382.26
12349440,3044.47,1415.0474,393.95
12369920,3049.47,1675.6563,440.71
12390400,3054.43,1596.2372,410.82
12410880,3059.67,1565.7072,401.44
12431360,3064.62,1688.6823,447.09
12451840,3069.64,1743.5049,462.08
12472320,3074.53,1557.2243,402.17
12492800,3079.56,1481.5237,389.40
12513280,3084.73,1533.6925,413.70
12533760,3089.70,1608.6350,443.04
12554240,3094.71,1480.3631,422.02
12574720,3099.62,1414.3641,413.79
12595200,3104.57,1435.2088,407.54
12615680,3109.75,1464.0578,408.14
12636160,3114.75,1446.6996,408.78
12656640,3119.70,1482.7781,410.95
12677120,3124.77,1419.2008,390.83
12697600,3129.87,1580.8597,416.65
12718080,3134.94,1607.5310,421.60
12738560,3139.86,1528.2915,410.83
12759040,3144.78,1610.8423,437.96
12779520,3149.80,1506.0119,421.19
12800000,3154.72,1511.4451,426.55
12820480,3161.63,1592.0820,449.86
12840960,3166.57,1533.7696,429.59
12861440,3171.58,1482.1997,407.67
12881920,3176.67,1518.3303,423.66
12902400,3181.66,1588.4557,442.84
12922880,3187.04,1577.6077,432.70
12943360,3191.83,1578.0707,421.98
12963840,3196.65,1511.4379,415.14
12984320,3201.39,1507.9678,414.24
13004800,3206.26,1604.4133,428.85
13025280,3211.18,1466.5688,399.18
13045760,3215.96,1495.5733,401.77
13066240,3220.68,1610.9615,434.51
13086720,3225.48,1449.7021,406.18
13107200,3230.29,1428.1873,396.75
13127680,3235.32,1535.2662,419.94
13148160,3240.14,1598.5083,428.61
13168640,3245.14,1537.2281,413.55
13189120,3250.05,1403.8475,390.64
13209600,3255.34,1349.0500,380.35
13230080,3260.54,1445.1695,395.88
13250560,3265.63,1472.2160,400.51
13271040,3270.80,1509.0944,412.40
13291520,3275.75,1537.1087,424.38
13312000,3280.85,1382.6665,393.73
13332480,3287.74,1454.7478,401.75
13352960,3292.60,1538.4426,409.31
13373440,3297.53,1468.3816,396.50
13393920,3302.38,1579.0232,432.75
13414400,3307.25,1625.0190,444.73
13434880,3312.36,1529.9716,415.63
13455360,3317.22,1403.9237,394.12
